post_uri,reply_uri,reply_author,reply_text,reply_createdAt
at://did:plc:chj4njznbfeyrv562jajlwmh/app.bsky.feed.post/3lgaovrfre22q,at://did:plc:negftftigm7baydmd53dnd6p/app.bsky.feed.post/3lgax3ptjqs2c,did:plc:negftftigm7baydmd53dnd6p,In a true democracy everyone has the right to seek election. Having a binary choice is insane as people are then forced to vote for their perception of the least worst candidate and it is in that perception space that the system can be gamed. This is how 🦧 got elected,2025-01-21T13:22:05.234Z
at://did:plc:rodz5pldaw77vzifbkf2kmxp/app.bsky.feed.post/3lgamlfxrnw2u,at://did:plc:bjokj4jdwutlebxhjel4nayq/app.bsky.feed.post/3lgamodpyak2y,did:plc:bjokj4jdwutlebxhjel4nayq,Agreed,2025-01-21T10:15:38.915Z
at://did:plc:bjokj4jdwutlebxhjel4nayq/app.bsky.feed.post/3lgamfmjpr22y,at://did:plc:rodz5pldaw77vzifbkf2kmxp/app.bsky.feed.post/3lgamlfxrnw2u,did:plc:rodz5pldaw77vzifbkf2kmxp,"I have said for decades now, ""Three lefts make a right."" Jill Stein preys on Naive Youth. Young adults who wear rose colored glasses. They want a perfect world. They have not matured enough to know we have to be practical.",2025-01-21T10:14:00.603Z
at://did:plc:yrclrwc757za53vry5ipsvhn/app.bsky.feed.post/3lgakohntak2o,at://did:plc:oykkmnlfsvtyul6uzuovjqr6/app.bsky.feed.post/3lgakzbfdhs27,did:plc:oykkmnlfsvtyul6uzuovjqr6,"No, braintrust. Trump won because stupid mother fuckers can't understand that a 3rd party candidate WILL NEVER WIN.

You own everything Trump does.

Fuck you very much.",2025-01-21T09:45:58.084Z
at://did:plc:mwagtmvsxuqlgte5iqk3fndm/app.bsky.feed.post/3lgaigzub222c,at://did:plc:rvitcvliqoggf6nusummr4ht/app.bsky.feed.post/3lgaipnro2k2k,did:plc:rvitcvliqoggf6nusummr4ht,Fkn bztrd ....  i keep being amazed at the depth of h8 i have for that vile pos felonrapistlyingxenophobicsexisttrashypos,2025-01-21T09:04:48.042Z
at://did:plc:mwagtmvsxuqlgte5iqk3fndm/app.bsky.feed.post/3lgaigzub222c,at://did:plc:bchnenqh3jskpnkja2ubrfgd/app.bsky.feed.post/3lgaijezevs2j,did:plc:bchnenqh3jskpnkja2ubrfgd,Exactly.,2025-01-21T09:01:17.524Z
at://did:plc:fgqjbb57pdc4ioegcirhsnw3/app.bsky.feed.post/3lgae6sanus2p,at://did:plc:f57i5rcd5uohhp6j74xuuixq/app.bsky.feed.post/3lgavebw2n22u,did:plc:f57i5rcd5uohhp6j74xuuixq,"I woke up this morning wondering why we never really talk about why we vote *for* someone… it’s always “the other side” this, and “the last guy/gal” that",2025-01-21T12:51:05.147Z
at://did:plc:m224gmbj3iansgvczohklq2q/app.bsky.feed.post/3lgadac5iic2z,at://did:plc:4npqecmlv23jk6va7wvetwcb/app.bsky.feed.post/3lgamsa5v5c2v,did:plc:4npqecmlv23jk6va7wvetwcb,There was no genocide. You got played.,2025-01-21T10:17:49.394Z
at://did:plc:mkhxdgnaacdw2lwcydtebakl/app.bsky.feed.post/3lga6r6lvis2x,at://did:plc:hyogcwivc5r3leatz44cueyf/app.bsky.feed.post/3lgaugwgbmk2u,did:plc:hyogcwivc5r3leatz44cueyf,We didn’t fail. The GOP just had to vote to impeach. That’s all they had to do.,2025-01-21T12:34:40.019Z
at://did:plc:qc5ruz6a4rmdrustknog2j42/app.bsky.feed.post/3lga6oefgcs2s,at://did:plc:qc5ruz6a4rmdrustknog2j42/app.bsky.feed.post/3lga6x7t5r22s,did:plc:qc5ruz6a4rmdrustknog2j42,"My God er is maar 1 iets ergers dan rechtspopulistisch opportunisme, en dat is moralistisch opportunisme.",2025-01-21T06:10:04.428Z
